Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,225.8300018310547,223.8800048828125,225.0399932861328,225.24000549316406,91366500.0,203.78807067871094
2017-01-04,226.75,225.61000061035156,225.6199951171875,226.5800018310547,78744400.0,205.00042724609375
2017-01-05,226.5800018310547,225.47999572753906,226.27000427246094,226.39999389648438,78379000.0,204.83755493164062
2017-01-06,227.75,225.89999389648438,226.52999877929688,227.2100067138672,71559900.0,205.57040405273438
2017-01-09,227.07000732421875,226.4199981689453,226.91000366210938,226.4600067138672,46939700.0,204.89186096191406
2017-01-10,227.4499969482422,226.00999450683594,226.47999572753906,226.4600067138672,63771900.0,204.89186096191406
2017-01-11,227.10000610351562,225.58999633789062,226.36000061035156,227.10000610351562,74650000.0,205.4708709716797
2017-01-12,226.75,224.9600067138672,226.5,226.52999877929688,72113200.0,204.95521545410156
2017-01-13,227.39999389648438,226.69000244140625,226.72999572753906,227.0500030517578,62717900.0,205.4256591796875
2017-01-17,226.77999877929688,225.8000030517578,226.30999755859375,226.25,61240800.0,204.70184326171875
2017-01-18,226.8000030517578,225.89999389648438,226.5399932861328,226.75,54793300.0,205.1542510986328
2017-01-19,227.0,225.41000366210938,226.83999633789062,225.91000366210938,66608800.0,204.3942413330078
2017-01-20,227.30999755859375,225.97000122070312,226.6999969482422,226.74000549316406,129168600.0,205.14517211914062
2017-01-23,226.80999755859375,225.27000427246094,226.74000549316406,226.14999389648438,75061600.0,204.61138916015625
2017-01-24,228.0800018310547,226.27000427246094,226.39999389648438,227.60000610351562,95555300.0,205.92324829101562
2017-01-25,229.57000732421875,228.50999450683594,228.6999969482422,229.57000732421875,84437700.0,207.7056884765625
2017-01-26,229.7100067138672,229.00999450683594,229.39999389648438,229.3300018310547,59970700.0,207.48851013183594
2017-01-27,229.58999633789062,228.75999450683594,229.4199981689453,228.97000122070312,59711100.0,207.1627960205078
2017-01-30,228.1999969482422,226.41000366210938,228.1699981689453,227.5500030517578,79737300.0,205.8780517578125
2017-01-31,227.60000610351562,226.32000732421875,226.97999572753906,227.52999877929688,75880800.0,205.85992431640625
